pit_male	pjut_male	pjot_female	pet_female	pjat_male	pjat_female	pot_female	pjet_male	pjot_male	put_female	pjut_female	put_male	pjit_female	pjit_male	pat_female	pit_female	pet_male	pjet_female	pat_male	pot_male	gjit_female	gjet_female	gjot_male	gut_male	git_female	gjut_male	gjat_female	git_male	got_male	get_male	got_female	gut_female	gjut_female	gjit_male	get_female	gat_female	gjot_female	gjat_male	gat_male	gjet_male
pit_male	0	22	24	19	24	25	26	20	24	22	22	23	21	20	26	9	18	21	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjut_male	22	0	12	26	24	26	24	26	9	19	9	19	26	26	26	23	25	26	25	22	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjot_female	24	12	0	25	25	25	17	25	7	20	14	22	25	26	25	24	25	26	25	20	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pet_female	19	26	25	0	26	23	24	18	24	24	25	26	23	22	25	22	9	19	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjat_male	24	24	25	26	0	4	25	17	26	26	25	25	26	26	22	26	24	19	20	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjat_female	25	26	25	23	4	0	24	16	25	24	24	25	26	26	21	26	23	19	22	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pot_female	26	24	17	24	25	24	0	24	18	13	22	12	26	25	25	24	25	25	26	8	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjet_male	20	26	25	18	17	16	24	0	24	25	23	25	24	21	24	23	14	8	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjot_male	24	9	7	24	26	25	18	24	0	22	14	22	26	25	24	22	24	25	26	21	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
put_female	22	19	20	24	26	24	13	25	22	0	16	10	26	25	26	22	25	26	25	16	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjut_female	22	9	14	25	25	24	22	23	14	16	0	21	26	26	25	21	25	24	26	23	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
put_male	23	19	22	26	25	25	12	25	22	10	21	0	25	26	24	25	25	26	25	8	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjit_female	21	26	25	23	26	26	26	24	26	26	26	25	0	4	25	16	24	22	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjit_male	20	26	26	22	26	26	25	21	25	25	26	26	4	0	26	16	22	20	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pat_female	26	26	25	25	22	21	25	24	24	26	25	24	25	26	0	25	25	25	6	24	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pit_female	9	23	24	22	26	26	24	23	22	22	21	25	16	16	25	0	23	21	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pet_male	18	25	25	9	24	23	25	14	24	25	25	25	24	22	25	23	0	18	24	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pjet_female	21	26	26	19	19	19	25	8	25	26	24	26	22	20	25	21	18	0	25	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
pat_male	25	25	25	25	20	22	26	25	26	25	26	25	26	25	6	25	24	25	0	23	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
