PARTICIPANT,SLIDE,GROUP #,GROUP
AJ00007,1,1,"1, 16, 13, 14, 18"
AJ00007,1,2,"19, 15, 20, 12"
AJ00007,1,3,"4, 6, 7, 3, 10, 11, 9, 8, 17"
AJ00007,1,4,"2, 5"
AJ00007,2,1,"1, 5, 9, 4, 17"
AJ00007,2,2,"18, 19, 20, 10, 16"
AJ00007,2,3,"6, 13, 11, 12, 3"
AJ00007,2,4,"14, 15, 7, 8, 2"
DD00006,1,1,"15, 19"
DD00006,1,2,"5, 6"
DD00006,1,3,"13, 14, 4"
DD00006,1,4,"12, 7, 10, 20"
DD00006,1,5,"1, 17, 18, 16, 8"
DD00006,1,6,"2, 11, 9, 3"
DD00006,2,1,"1, 2, 5, 20"
DD00006,2,2,"6, 3, 17, 13"
DD00006,2,3,"18, 7"
DD00006,2,4,"4, 9, 12"
DD00006,2,5,"19, 16"
DD00006,2,6,"10, 14, 15, 8, 11"
DL00000,1,1,"10, 1, 2, 9, 11, 12"
DL00000,1,2,"20, 3, 7"
DL00000,1,3,"8, 4, 18, 17"
DL00000,1,4,"5, 6, 15, 19"
DL00000,1,5,"13, 14, 16"
DL00000,2,1,"1, 14"
DL00000,2,2,"20, 2, 8, 10, 15"
DL00000,2,3,"7, 18, 16, 19"
DL00000,2,4,"3, 6, 4, 9, 11, 12, 17"
DL00000,2,5,"5, 13"
KR00000,1,1,1
KR00000,1,2,"14, 8"
KR00000,1,3,"2, 9"
KR00000,1,4,"19, 17"
KR00000,1,5,5
KR00000,1,6,"20, 12"
KR00000,1,7,"13, 16"
KR00000,1,8,18
KR00000,1,9,"3, 11"
KR00000,1,10,15
KR00000,1,11,"4, 6"
KR00000,1,12,"10, 7"
KR00000,2,1,"6, 3"
KR00000,2,2,"9, 4"
KR00000,2,3,"8, 10"
KR00000,2,4,"19, 18"
KR00000,2,5,14
KR00000,2,6,"13, 1"
KR00000,2,7,"17, 11"
KR00000,2,8,12
KR00000,2,9,"16, 7, 5"
KR00000,2,10,"2, 15, 20"
SG00000,1,1,"5, 1, 8, 6, 12, 17"
SG00000,1,2,"2, 3, 11, 10"
SG00000,1,3,13
SG00000,1,4,"20, 19"
SG00000,1,5,"7, 9, 4, 14, 16, 18"
SG00000,1,6,15
SG00000,2,1,"1, 3, 4, 5, 12, 9, 6, 11"
SG00000,2,2,"2, 7, 15, 14"
SG00000,2,3,16
SG00000,2,4,"8, 10, 13, 18, 17, 20, 19"
HP00008,1,1,"1, 4, 17, 8, 18"
HP00008,1,2,"2, 16, 3, 9, 11"
HP00008,1,3,"7, 12, 10, 20"
HP00008,1,4,"13, 14"
HP00008,1,5,"6, 5"
HP00008,1,6,"15, 19"
HP00008,2,1,"1, 8, 2, 10, 14, 15"
HP00008,2,2,"9, 11, 12"
HP00008,2,3,"3, 7, 17, 13"
HP00008,2,4,"18, 16, 20, 19, 4, 5, 6"
NA00009,1,1,"20, 7, 10, 12"
NA00009,1,2,"17, 4, 15, 19"
NA00009,1,3,"5, 6, 18, 8"
NA00009,1,4,"16, 1, 14, 13"
NA00009,1,5,"2, 11, 9, 3"
NA00009,2,1,"1, 14, 8, 5"
NA00009,2,2,"11, 9, 4, 12"
NA00009,2,3,"2, 20, 15, 10"
NA00009,2,4,"6, 13, 3, 17"
NA00009,2,5,"19, 16, 7, 18"
SH0001,1,1,"1, 4, 17"
SH0001,1,2,"2, 3, 9, 11"
SH0001,1,3,"5, 6, 18, 8"
SH0001,1,4,"7, 10, 12, 20"
SH0001,1,5,"13, 14, 16"
SH0001,1,6,"15, 19"
SH0001,2,1,"1, 14"
SH0001,2,2,"2, 10, 15, 20, 18"
SH0001,2,3,"9, 4, 11, 12"
SH0001,2,4,"3, 6, 17"
SH0001,2,5,"8, 5, 13"
SH0001,2,6,"19, 7, 16"
SL000010,1,1,1
SL000010,1,2,"1, 16"
SL000010,1,3,"8, 18"
SL000010,1,4,"5, 6"
SL000010,1,5,"2, 11"
SL000010,1,6,"3, 9"
SL000010,1,7,"13, 14"
SL000010,1,8,"4, 17"
SL000010,1,9,"15, 19"
SL000010,1,10,"10, 12"
SL000010,1,11,"7, 20"
SL000010,2,1,2
SL000010,2,2,"1, 14"
SL000010,2,3,"9, 11"
SL000010,2,4,"16, 19"
SL000010,2,5,"12, 4"
SL000010,2,6,"10, 15"
SL000010,2,7,"5, 8"
SL000010,2,8,"3, 17"
SL000010,2,9,"7, 18"
SL000010,2,10,"13, 6"
SL000010,2,11,"2, 20"
SLM00004,1,1,"1, 4, 16"
SLM00004,1,2,"15, 19"
SLM00004,1,3,10
SLM00004,1,4,11
SLM00004,1,5,"5, 6, 8, 18"
SLM00004,1,6,17
SLM00004,1,7,"9, 2, 3"
SLM00004,1,8,"7, 20, 12"
SLM00004,1,9,"13, 14"
SLM00004,2,1,"1, 8, 14"
SLM00004,2,2,5
SLM00004,2,3,"2, 10, 15, 18, 19, 20"
SLM00004,2,4,"17, 3, 6, 13"
SLM00004,2,5,"16, 7"
SLM00004,2,6,"4, 9, 11, 12"
TW00005,1,1,"1, 4, 8"
TW00005,1,2,"3, 12, 13, 15"
TW00005,1,3,"10, 16, 14, 19"
TW00005,1,4,"2, 9, 17"
TW00005,1,5,"5, 6, 7"
TW00005,1,6,"11, 18, 20"
TW00005,2,1,"1, 5"
TW00005,2,2,"2, 11, 20, 17"
TW00005,2,3,"3, 13, 15, 16"
TW00005,2,4,"4, 6, 9"
TW00005,2,5,"7, 12, 14, 19"
TW00005,2,6,"10, 8, 18"
NW000011,1,1,"4, 8, 1, 13, 14, 16, 17, 18"
NW000011,1,2,"12, 7, 10, 11, 2, 3, 9, 20"
NW000011,1,3,"19, 5, 15, 6"
NW000011,2,1,"1, 2, 8, 20, 10, 5, 14, 15"
NW000011,2,2,"12, 13, 17, 11, 3, 4, 6, 9"
NW000011,2,3,"18, 19, 16, 7"
LH0000012,1,1,"1, 16"
LH0000012,1,2,10
LH0000012,1,3,"2, 3, 9"
LH0000012,1,4,"7, 12, 20"
LH0000012,1,5,"15, 19"
LH0000012,1,6,"5, 6"
LH0000012,1,7,"8, 18"
LH0000012,1,8,11
LH0000012,1,9,"4, 17"
LH0000012,1,10,"13, 14"
LH0000012,2,1,1
LH0000012,2,2,"3, 17"
LH0000012,2,3,5
LH0000012,2,4,"9, 11"
LH0000012,2,5,"2, 20"
LH0000012,2,6,"4, 12"
LH0000012,2,7,"6, 13"
LH0000012,2,8,14
LH0000012,2,9,"7, 18"
LH0000012,2,10,8
LH0000012,2,11,"15, 10"
LH0000012,2,12,"19, 16"
