Aslide,Bslide,IconNumber,Condition,Context,Speaker,Code,FileName,Palatalized
1,2,1,CiC,pVt,M,CiC_pVt_M,pit_male,0
1,2,2,CJuC,pVt,M,CJuC_pVt_M,pjut_male,1
1,2,3,CJoC,pVt,F,CJoC_pVt_F,pjot_female,1
1,2,4,CeC,pVt,F,CeC_pVt_F,pet_female,0
1,2,5,CJaC,pVt,M,CJaC_pVt_M,pjat_male,1
1,2,6,CJaC,pVt,F,CJaC_pVt_F,pjat_female,1
1,2,7,CoC,pVt,F,CoC_pVt_F,pot_female,0
1,2,8,CJeC,pVt,M,CJeC_pVt_M,pjet_male,1
1,2,9,CJoC,pVt,M,CJoC_pVt_M,pjot_male,1
1,2,10,CuC,pVt,F,CuC_pVt_F,put_female,0
1,2,11,CJuC,pVt,F,CJuC_pVt_F,pjut_female,1
1,2,12,CuC,pVt,M,CuC_pVt_M,put_male,0
1,2,13,CJiC,pVt,F,CJiC_pVt_F,pjit_female,1
1,2,14,CJiC,pVt,M,CJiC_pVt_M,pjit_male,1
1,2,15,CaC,pVt,F,CaC_pVt_F,pat_female,0
1,2,16,CiC,pVt,F,CiC_pVt_F,pit_female,0
1,2,17,CeC,pVt,M,CeC_pVt_M,pet_male,0
1,2,18,CJeC,pVt,F,CJeC_pVt_F,pjet_female,1
1,2,19,CaC,pVt,M,CaC_pVt_M,pat_male,0
1,2,20,CoC,pVt,M,CoC_pVt_M,pot_male,0
2,1,1,CJiC,gVt,F,CJiC_gVt_F,gjit_female,1
2,1,2,CJeC,gVt,F,CJeC_gVt_F,gjet_female,1
2,1,3,CJoC,gVt,M,CJoC_gVt_M,gjot_male,1
2,1,4,CuC,gVt,M,CuC_gVt_M,gut_male,0
2,1,5,CiC,gVt,F,CiC_gVt_F,git_female,0
2,1,6,CJuC,gVt,M,CJuC_gVt_M,gjut_male,1
2,1,7,CJaC,gVt,F,CJaC_gVt_F,gjat_female,1
2,1,8,CiC,gVt,M,CiC_gVt_M,git_male,0
2,1,9,CoC,gVt,M,CoC_gVt_M,got_male,0
2,1,10,CeC,gVt,M,CeC_gVt_M,get_male,0
2,1,11,CoC,gVt,F,CoC_gVt_F,got_female,0
2,1,12,CuC,gVt,F,CuC_gVt_F,gut_female,0
2,1,13,CJuC,gVt,F,CJuC_gVt_F,gjut_female,1
2,1,14,CJiC,gVt,M,CJiC_gVt_M,gjit_male,1
2,1,15,,gVt,F,CeC_gVt_F,get_female,0
2,1,16,CaC,gVt,F,CaC_gVt_F,gat_female,0
2,1,17,CJoC,gVt,F,CJoC_gVt_F,gjot_female,1
2,1,18,CJaC,gVt,M,CJaC_gVt_M,gjat_male,1
2,1,19,CaC,gVt,M,CaC_gVt_M,gat_male,0
2,1,20,CJeC,gVt,M,CJeC_gVt_M,gjet_male,1
