D1	D2
pit_male	-0.696330687809734	0.0225572534235218
pjut_male	-0.745652583876015	0.0578043429376683
pjot_female	-0.745408949983638	0.0694624097640102
pet_female	-0.669328139292725	0.0169598688582066
pjat_male	-0.640630736982625	0.0798772187212741
pjat_female	-0.643864047961286	0.0740898783522754
pot_female	-0.72351687759755	0.0967701284534782
pjet_male	-0.658796451815635	0.0414394581391993
pjot_male	-0.738454742567114	0.0633244896822813
put_female	-0.726019163744247	0.0812731357529749
pjut_female	-0.732359940025187	0.0577178547989694
put_male	-0.729797275089425	0.0941655984580543
pjit_female	-0.69231195094917	-0.0146664815140595
pjit_male	-0.679738362403828	-0.00566449006706499
pat_female	-0.656452482980931	0.107496170231958
pit_female	-0.707003449728542	0.019449623298473
pet_male	-0.660234642376064	0.0246886973461516
pjet_female	-0.653062744575492	0.036471723935364
pat_male	-0.651408571850308	0.107481936701329
pot_male	-0.728934469186283	0.110030598667484
gjit_female	0.692163158708709	-0.100324424916859
gjet_female	0.71435488052274	-0.0901929890528756
gjot_male	0.723317328689995	-0.0147809363171992
gut_male	0.693831016966943	0.00220734857892278
git_female	0.688196013262122	-0.0509243035961764
gjut_male	0.715605223652635	-0.0188647418553552
gjat_female	0.646218381736991	-0.0633700891760709
git_male	0.705210733229007	-0.108973538875074
got_male	0.700144696266129	0.0081624084339756
get_male	0.714703372517986	-0.10624304706782
got_female	0.700165785287712	-0.000826237979422158
gut_female	0.688940499099375	-0.00250356258130578
gjut_female	0.720578826971759	-0.0331290848323348
gjit_male	0.69799619156752	-0.121023556175415
get_female	0.721958708398619	-0.104599216282067
gat_female	0.62893446363446	-0.067767076191166
gjot_female	0.724205361001546	-0.0291529894274885
gjat_male	0.654694348214807	-0.073465773665738
gat_male	0.6371831531457	-0.082421291835679
gjet_male	0.710904127921145	-0.0825363131264089
